id,situacao,cargo,funcao
2560400,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2560400,Ativo,Inválido,Sem função
352624,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2448069,Ativo,COPEIRO,Sem função
2912480,Ativo,TECNICO EM ENFERMAGEM,Sem função
3613313,Aposentado,ENFERMEIRO-AREA,Sem função
3851370,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2573289,Pensionista,SERVENTE DE LIMPEZA,Sem função
1183156,Ativo,TECNICO EM ASSUNTOS EDUCACIONAIS,Sem função
402521,Ativo,TECNICO EM ENFERMAGEM,Sem função
1056782,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
1507855,Aposentado,AUXILIAR DE ENFERMAGEM,Sem função
1170895,Ativo,ASSISTENTE SOCIAL,Sem função
2434695,Pensionista,RECEPCIONISTA,Sem função
3753793,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
1203215,Aposentado,MARCENEIRO,Sem função
1163484,Ativo,TECNICO EM RADIOLOGIA,Sem função
319790,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2325756,Ativo,VIGILANTE,Sem função
3304710,Aposentado,AUXILIAR DE ENFERMAGEM,Sem função
1792941,Ativo,VIGILANTE,Sem função
480759,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
223226,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1966642,Ativo,TECNICO EM CONTABILIDADE,Sem função
2419995,Ativo,MEDICO RESIDENTE,Sem função
45747,Ativo,ASSISTENTE SOCIAL,Sem função
3522425,Ativo,BIOMEDICO,Sem função
3522425,Ativo,TECNICO DE LABORATORIO AREA,Sem função
2685273,Aposentado,DIRETOR DE PRODUCAO,Sem função
2757902,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2392228,Ativo,TECNICO EM ASSUNTOS EDUCACIONAIS,Sem função
1321158,Ativo,AUX EM ADMINISTRACAO,Sem função
48959,Ativo,PSICOLOGO-AREA,Sem função
48959,Ativo,Sem informaç,FG 000.1
2824705,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
273380,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
85852,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3686380,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3434273,Ativo,MEDICO RESIDENTE,Sem função
2921622,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3860655,Ativo,MEDICO RESIDENTE,Sem função
530724,Ativo,CONTADOR,Sem função
402675,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
277546,Pensionista,TECNICO EM ASSUNTOS EDUCACIONAIS,Sem função
424906,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2444276,Ativo,TECNICO DE LABORATORIO AREA,Sem função
442069,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
18377,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
3330252,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3330252,Ativo,Sem informaç,CD 000.4
37059,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3021260,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2807647,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
294671,Ativo,ADMINISTRADOR DE EDIFICIOS,Sem função
